English,Translation,New,Correct
To buy,kaufen,1,2
To sell,verkaufen,1,2
What's going on?,Was passiert hier?,1,2
Do you speak Englisch?,Sprechen Sie englisch?,1,2
I'm from the USA.,Ich komme aus den USA.,1,2
How much is it?,Wie viel kostet das?,1,2
I'd like to have…,Ich hätte gerne…,1,2
Love,Liebe,1,2
To love,lieben,1,2
Spouse,Ehegatte,0,1
To marry,heiraten,1,2
Wedding,Hochzeit,1,2
To infect,infizieren,1,2
Desinfectant,Desinfektionsmittel,1,2
Pandemic,Pandemie,1,2
I feel sick.,Ich bin krank.,1,2
Boy,Junge,1,2
Girl,Mädchen,1,2
Man,Mann,1,2
Woman,Frau,0,1
I don't get it.,Ich verstehe das nicht.,1,2
Traveler,Reisender,1,2
Traffic lights,Ampel,1,2
To Work,arbeiten,1,2
Employer,Arbeitgeber,1,2
Employee,Arbeitnehmer,1,2
To sack,entlassen,1,2
To hire,einstellen,1,2
Salary,Gehalt,0,1
To pray,beten,1,2
Church,Kirche,1,2
Catholic,katholisch,1,2
Protestant,evangelisch,1,2
Friend,Freund,1,2
To play,spielen,1,2
Computer game,Computerspiel,1,2
Consultant,Berater,1,2
Tax office,Finanzamt,1,2
Government,Regierung,1,2
Country,Land,1,2
Expensive,teuer,0,1
Cheap,billig,1,2
Eye,Auge,1,2
Eagle,Adler,1,2
Mouth,Mund,1,2
Nose,Nase,1,2
Hand,Handy,1,2
Toe,Zeh,1,2
Shoulder,Schulter,1,2
Knee,Knie,1,2
Finger,Finger,1,2
Ear,Ohr,1,2
Hair,Haare,1,2
Hips,Hüfte,1,2
Before,bevor,1,2
After,nachdem,1,2
Turn right.,Rechts abbiegen.,1,2
Turn left.,Links abbiegen.,1,2
Go straight on.,Fahr gerade aus.,1,2
Turn around.,Drehe Dich um.,1,2
Radio,Radio,1,2
Binoculars,Fernglas,1,2
Glasses,Brille,1,2
Book,Buch,1,2
To read,lesen,1,2
To hope,hoffen,1,2
Rain,Regen,1,2
Sun,Sonne,1,2
Tree,Baum,1,2
Monkey,Affe,1,2
King,König,1,2
Queen,Königin,1,2
Minister,Minister,1,2
Chess,Schach,1,2
Game,Spiel,1,2
Paper,Papier,1,2
Pencil,Stift,1,2
Pen,Füller,1,2
Key,Schlüssel,1,2
Key chain,Schlüsselanhänger,1,2
Rollercoaster,Achterbahn,1,2
Pair of scissors,Schere,1,2
Sister,Schwester,1,2
Brother,Bruder,1,2
Mother,Mutter,1,2
Father,Vater,1,2
Oh dear!,Oh je!,1,2
Pardon me!,Entschuldigung!,1,2
Yellow,Gelb,1,2
Grey,Grau,1,2
Black,Schwarz,1,2
White,Weiß,1,2
Programmer,Programmierer,1,2
Hero,Held,0,1
I need your help.,Ich brauche Ihre Hilfe.,1,2
Economics,Wirtschaftswissenschaften,1,2
Company,Unternehmen,0,1
Head,Kopf,1,2
Cushion,Kissen,1,2
Blanket,Decke,1,2
Maths,Mathe,1,2
Science,Wissenschaft,1,2
Son,Sohn,1,2
Daughter,Tochter,1,2
Bin,Mülleimer,1,2
Bucket,Eimer,1,2
Toilet,Toilette,1,2
Hotel,Hotel,1,2
Waiter,Kellner,1,2
Clock,Uhr,1,2
Time,Uhrzeit,1,2
I'm sorry.,Das tut mir leid.,1,2
Let's check.,Lass mich das überprüfen.,1,2
Chest,Brust,1,2
Box,Kiste,1,2
To talk,reden,1,2
